temp_Norway,temp_Netherlands,temp_Switzerland
999,2.18,-0.73
999,3.48,-0.37
999,2.28,-0.57
999,3.88,3.2
999,7.48,7.87
999,12.38,12.78
999,14.18,15.22
999,16.88,17.98
999,16.78,18.05
999,13.28,13.57
999,11.68,11.1
999,7.78,4.59
999,0.09,-2.59
999,1.59,-1.96
999,0.59,-2.48
999,4.59,2.97
999,7.49,6.84
999,12.49,13.04
999,13.59,15.48
999,13.79,15.49
999,15.09,17.78
999,13.59,14.5
999,11.19,10.14
999,5.69,4.14
999,3,1.92
999,-1.3,-4.22
999,3.6,0.43
999,3.5,2.68
999,6,5.83
999,13,14.22
999,16.2,17.76
999,16.6,17.27
999,15.2,15.99
999,13.5,12.89
999,9.8,8.7
999,4.4,1.23
999,1.01,-0.98
999,0.71,-3.57
999,0.51,-2.22
999,2.91,1.93
999,8.51,9.53
999,11.21,11.81
999,13.11,14.38
999,14.71,15.38
999,16.21,16.72
999,13.11,13.34
999,11.01,10.42
999,4.41,2.05
999,3.12,1.5
999,3.42,-0.2
999,3.92,1.45
999,5.12,4.41
999,7.82,7.53
999,12.62,11
999,16.32,16.01
999,15.22,15.85
999,16.02,16.75
999,13.32,11.51
999,10.22,9.66
999,3.32,2.52
999,5.63,1.83
999,1.13,-4.35
999,3.43,0.55
999,5.03,4.47
999,7.13,7.29
999,13.93,12.77
999,14.73,15.44
999,18.53,20.42
999,19.33,20.81
999,14.43,15.98
999,9.43,8.65
999,5.83,4.95
999,5.14,1.54
999,1.94,-0.77
999,3.94,3.64
999,7.44,6.78
999,8.64,7.43
999,11.64,13.18
999,15.14,15.91
999,18.34,16.48
999,14.04,13.82
999,10.64,8.68
999,7.84,6.93
999,5.44,1.28
999,5.35,0.42
999,2.25,-0.09
999,3.35,0.76
999,6.95,6.45
999,8.65,7.73
999,12.65,12.11
999,14.25,15.07
999,14.75,14.52
999,15.25,16.01
999,13.85,13.02
999,10.95,9.71
999,8.35,6.45
999,4.16,0.34
999,-0.14,-4.79
999,5.56,1.51
999,5.96,5.03
999,10.06,10.36
999,11.56,10.58
999,14.26,14.28
999,17.86,16.32
999,17.36,17.07
999,13.66,13.1
999,9.96,8.25
999,5.06,2.39
999,4.97,2.3
999,3.17,-0.43
999,3.07,0.1
999,4.07,2.48
999,7.47,6.86
999,12.37,14.66
999,15.67,18.02
999,15.57,16.58
999,15.57,16.04
999,13.07,11.77
999,7.57,6.2
999,2.87,0.86
999,5.18,3.71
999,5.98,2.93
999,2.68,1.78
999,4.38,4.53
999,8.78,8.38
999,13.08,13.59
999,12.18,13.36
999,15.28,16.62
999,16.38,16.54
999,13.28,11.65
999,10.28,8.89
999,5.88,3.38
999,2.59,1.11
999,-0.71,-2.66
999,-1.51,-2.5
999,1.89,1.34
999,4.59,4.67
999,14.69,15.74
999,18.29,18.35
999,16.69,17.28
999,16.19,16.76
999,14.59,16.02
999,8.09,7.11
999,7.29,3.64
999,0,-4.91
999,2.8,-0.58
999,4,0.4
999,4.6,4.62
999,8.3,8.3
999,13.9,14.2
999,13.5,13.18
999,16.2,17.27
999,15.9,17.1
999,13.1,13.91
999,9.3,6.85
999,4.3,2.7
999,5.8,2.87
999,1.9,0
999,0.3,-0.62
999,4.1,4.11
999,6.3,4.85
999,13.8,11.96
999,14.4,15.99
999,13.9,14.67
999,16,18.93
999,14.4,16.04
999,7,5.56
999,1.8,1.52
999,3.69,0.89
999,4.19,2.26
999,5.39,2.79
999,7.29,6.73
999,9.29,9.11
999,12.89,15.18
999,15.79,15.33
999,16.19,17.48
999,14.09,15.64
999,13.19,13.96
999,8.19,8.19
999,3.19,1.5
999,2.09,-0.28
999,6.19,3.4
999,3.09,0.93
999,6.69,5.99
999,8.79,7.35
999,13.39,14.13
999,14.79,16.03
999,18.09,19.95
999,16.89,17.48
999,13.99,15.39
999,12.69,11.5
999,1.29,0.1
999,3.19,-0.05
999,0.39,-1.32
999,1.69,-0.44
999,4.19,4.95
999,6.09,6.19
999,13.39,14.29
999,15.19,16.52
999,15.09,16.16
999,14.89,16.85
999,12.59,11.33
999,6.49,6.13
999,4.89,1.61
999,4.59,-0.15
999,3.99,-0.96
999,2.99,2.87
999,6.49,4.6
999,7.79,7.85
999,10.29,12.44
999,11.59,12.24
999,18.89,19.77
999,15.79,17.95
999,12.99,13.84
999,10.69,10.75
999,2.89,2.81
999,0.39,-0.7
999,0.09,-2.68
999,0.39,-2.59
999,3.29,3.49
999,6.59,7.73
999,13.29,13.43
999,14.89,14.94
999,16.29,17.34
999,14.39,14.44
999,13.99,14.08
999,10.59,9.67
999,4.99,3.01
999,3.78,-0.49
999,3.78,1.16
999,4.78,3.44
999,3.58,1.04
999,8.08,8.48
999,13.78,12.9
999,15.18,16.4
999,18.38,17.48
999,16.28,17
999,11.78,11.67
999,9.78,9.29
999,2.78,1.56
999,1.38,-0.03
999,2.18,-0.25
999,6.28,4.93
999,5.78,4.76
999,9.98,10.18
999,10.68,11.16
999,13.88,13.56
999,17.78,16.87
999,16.48,17.31
999,15.38,16.34
999,7.98,9.24
999,6.68,5.23
999,2.88,-1.49
999,3.88,0.1
999,2.78,0.04
999,6.58,5.3
999,7.78,8.61
999,11.38,13.66
999,13.18,15.93
999,17.08,18.04
999,16.88,16.64
999,14.08,14.23
999,10.38,8.79
999,4.08,3.51
999,-1.22,-1.73
999,3.58,1.35
999,4.78,2.66
999,4.48,4.63
999,8.28,8.17
999,10.88,10.36
999,13.98,16.11
999,17.18,21.08
999,16.08,18.64
999,12.68,13.67
999,9.78,8.85
999,7.68,5.1
999,2.28,-0.44
999,-1.42,-5.29
999,-5.42,-6.98
999,3.58,3.97
999,5.48,6.31
999,12.68,13.62
999,13.78,16.95
999,17.18,18.99
999,16.18,17.21
999,15.98,16.46
999,10.18,9.8
999,6.08,3.88
999,5.17,2.9
999,4.67,1.03
999,1.57,-0.29
999,4.77,5.27
999,8.87,9.06
999,11.67,11.6
999,17.77,19.25
999,16.17,16.58
999,16.57,17.09
999,13.97,14.94
999,10.27,9.01
999,7.27,5.89
999,2.17,0.44
999,2.57,-0.79
999,1.17,-1.41
999,2.37,1.09
999,7.27,7.28
999,13.57,15.28
999,15.27,18.26
999,16.57,17.26
999,15.77,15.58
999,11.57,9.77
999,8.87,7.86
999,6.67,4.79
999,3.27,-1.39
999,3.97,-0.48
999,1.47,-3.11
999,3.07,1.92
999,7.27,7.14
999,12.17,11.94
999,14.97,15.08
999,17.47,17.45
999,18.87,19.9
999,14.77,17.1
999,9.27,9.23
999,5.47,4.35
999,3.47,-0.56
999,0.07,-3.46
999,2.77,0.36
999,6.77,5.63
999,8.37,8.95
999,12.07,11.44
999,15.47,13.77
999,18.07,19.05
999,17.37,18.83
999,14.77,14.71
999,9.87,9.63
999,3.87,2.41
999,-2.14,-4.92
999,2.16,-1.21
999,3.36,-0.1
999,4.76,4.25
999,10.26,11.55
999,12.06,14.98
999,15.86,16.65
999,17.66,19.13
999,16.16,16.72
999,15.96,16.28
999,11.26,9.35
