atmospheric_CO2,CO2_emissions
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0195
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0202
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0213
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.0227
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.023
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0231
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0235
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0247
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0273
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0297
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0311
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.0314
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.031
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.0321
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.034
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0351
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0368
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0388
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0424
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0446
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0461
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0472
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0515
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0521
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.0555
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.058
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0635
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0661
999,0.0694
999,0.0694
999,0.0694
999,0.0694
999,0.0694
999,0.0694
