temp_Iceland,temp_Azores,temp_St_Helena,temp_Rothera
-0.6,999,14.48,999
0.6,999,16.28,999
-1.3,999,17.18,999
-1.9,999,18.78,999
-1.3,999,19.98,999
1.4,999,19.28,999
6.5,999,17.78,999
11.3,999,16.48,999
12.8,999,15.48,999
10.7,999,14.58,999
9.9,999,14.68,999
2.4,999,15.38,999
-1.6,999,16.18,999
-2.5,999,16.78,999
-2.8,999,17.98,999
-3.69,999,19.48,999
1.9,999,19.68,999
0.8,999,20.08,999
6.5,999,19.18,999
12.2,999,16.88,999
11.4,999,16.38,999
9.6,999,15.28,999
7.5,999,15.58,999
1.3,999,16.28,999
-0.2,999,17.18,999
-0.31,999,17.48,999
-1.01,999,18.38,999
-4.01,999,19.28,999
-1.81,999,19.38,999
0.49,999,18.98,999
2.49,999,17.78,999
11.89,999,16.68,999
10.49,999,14.88,999
9.69,999,14.58,999
8.99,999,14.48,999
4.09,999,15.18,999
-0.61,999,15.48,999
-3.7,999,16.58,999
-0.41,999,17.08,999
-4.21,999,19.18,999
-2.11,999,19.88,999
2.69,999,18.68,999
5.29,999,17.18,999
6.99,999,16.18,999
9.99,999,15.28,999
7.29,999,15.58,999
6.39,999,14.48,999
1.69,999,15.08,999
-0.01,999,15.38,999
1.09,999,15.88,999
-0.01,999,16.78,999
-2.31,999,18.18,999
0.49,999,18.68,999
2.99,999,17.88,999
5.89,999,16.98,999
10.49,999,15.58,999
13.59,999,14.78,999
10.99,999,14.18,999
8.49,999,14.58,999
6.99,999,14.78,999
-0.31,999,14.38,999
-0.71,999,15.88,999
-1.91,999,17.68,999
1.79,999,18.28,999
-2.21,999,18.78,999
3.89,999,18.68,999
5.59,999,17.28,999
12.99,999,16.28,999
10.89,999,14.98,999
10.19,999,13.98,999
8.79,999,14.18,999
0.59,999,14.68,999
0.59,999,15.68,999
-4.61,999,17.78,999
-3.91,999,18.28,999
-3.11,999,18.58,999
0.89,999,19.28,999
-0.61,999,19.18,999
5.79,999,18.08,999
8.79,999,15.98,999
11.89,999,15.48,999
10.19,999,14.38,999
8.29,999,14.78,999
5.49,999,14.28,999
-4.11,999,15.38,999
-1.11,999,16.58,999
-0.12,999,18.28,999
-2.72,999,18.68,999
0.08,999,19.48,999
1.58,999,19.48,999
8.48,999,17.28,999
9.48,999,16.48,999
12.08,999,15.28,999
10.18,999,14.48,999
6.48,999,14.88,999
4.68,999,15.48,999
0.28,999,18.28,999
1.08,999,17.98,999
-0.42,999,18.98,999
-3.71,999,19.68,999
-1.72,999,20.48,999
2.28,999,19.88,999
7.28,999,18.58,999
10.48,999,17.08,999
12.18,999,15.88,999
7.58,999,15.68,999
8.78,999,14.98,999
4.38,999,15.48,999
-1.22,999,16.28,999
-3.62,999,17.18,999
-0.22,999,18.28,999
-0.22,999,20.48,999
-3.21,999,21.28,999
3.58,999,19.98,999
6.78,999,19.18,999
9.78,999,17.88,999
13.48,999,16.28,999
11.08,999,16.18,999
8.48,999,15.78,999
2.38,999,16.28,999
-0.72,999,17.28,999
-1.02,999,18.28,999
0.58,999,19.48,999
-3.32,999,19.88,999
-4.42,999,19.78,999
-0.42,999,19.18,999
3.48,999,17.88,999
10.38,999,16.88,999
11.28,999,15.98,999
11.78,999,15.38,999
7.58,999,15.68,999
5.78,999,16.28,999
-2.32,999,16.38,999
-2.73,999,17.28,999
-0.73,999,19.68,999
-3.13,999,20.28,999
-2.73,999,20.98,999
2.47,999,20.08,999
5.27,999,18.98,999
9.57,999,17.18,999
7.57,999,14.88,999
9.77,999,14.88,999
7.47,999,15.38,999
8.27,999,15.98,999
1.87,999,16.88,999
-3.22,999,17.18,999
-1.03,999,19.28,999
-0.43,999,20.38,999
-2.83,999,19.58,999
-0.53,999,19.38,999
4.37,999,18.18,999
10.67,999,16.18,999
13.17,999,15.38,999
11.57,999,15.38,999
7.87,999,15.78,999
4.17,999,16.18,999
-0.43,999,16.88,999
-4.13,999,18.68,999
-2.23,999,19.28,999
0.17,999,20.58,999
0.47,999,20.38,999
-2.83,999,20.38,999
5.57,999,19.28,999
8.47,999,17.28,999
13.17,999,16.48,999
10.27,999,15.08,999
5.77,999,14.78,999
-1.53,999,15.18,999
-1.53,999,15.88,999
-4.43,999,17.48,999
-12.53,999,18.28,999
-3.33,999,19.48,999
0.87,999,19.18,999
2.27,999,19.78,999
7.87,999,17.88,999
9.97,999,16.28,999
9.67,999,15.48,999
10.17,999,15.98,999
4.67,999,15.88,999
3.47,999,16.68,999
1.37,999,16.78,999
-2.33,999,17.88,999
-2.13,999,18.68,999
-3.03,999,19.88,999
-5.73,999,20.08,999
0.17,999,19.48,999
6.77,999,18.68,999
10.77,999,17.68,999
13.67,999,15.48,999
9.57,999,14.88,999
6.37,999,14.88,999
3.17,999,15.38,999
-3.43,999,16.18,999
-1.13,999,17.28,999
-4.14,999,19.18,999
-2.14,999,20.48,999
-0.84,999,20.88,999
-0.44,999,20.58,999
5.16,999,18.98,999
11.36,999,17.68,999
11.36,999,15.88,999
11.46,999,15.78,999
9.16,999,15.98,999
2.96,999,15.88,999
3.26,999,18.28,999
0.06,999,19.78,999
-4.14,999,19.28,999
3.26,999,21.38,999
-1.94,999,21.78,999
2.96,999,21.18,999
4.06,999,19.88,999
11.16,999,18.48,999
11.36,999,15.88,999
8.56,999,14.98,999
6.76,999,15.28,999
3.16,999,16.28,999
-0.24,999,16.68,999
-1.44,999,18.88,999
-0.24,999,19.78,999
-0.04,999,20.88,999
-0.24,999,19.38,999
-0.34,999,19.68,999
3.36,999,16.68,999
