temp_Norway,temp_Netherlands,temp_Switzerland
-13.53,6.86,3.55
-14.14,-0.84,-0.32
-10.27,-0.04,-0.6
-15.64,0.66,-0.9
-7.26,3.26,3.37
-9.32,9.46,9.49
-4.7,10.76,12.33
2.2,15.76,17.19
4.17,16.36,17.15
3.87,17.36,17.02
0.17,12.56,11.01
-3.92,10.86,9.46
-5.18,5.96,4.94
-14.28,0.66,-0.8
-16.35,-1.14,-1.87
-14.72,6.26,4.44
-12.09,8.06,7.88
-12.03,7.86,7.61
-3.1,12.86,13.47
2.2,16.06,15.82
5.02,17.46,17.12
4.46,20.56,19.89
-0.33,14.36,15.41
-5.37,9.76,9.25
-8.33,6.76,4.59
-10.59,5.06,2.27
-19.23,4.76,1.78
-18.11,6.46,3.93
-12.23,7.66,5.41
-11.46,9.46,9.02
-5.02,14.96,14.75
1.73,15.86,17.52
6.05,16.36,18.6
4.48,16.56,18.58
-0.21,15.06,13.77
-4.26,9.96,10.04
-5.42,3.76,1.87
-11.74,4.66,1.01
-10.86,5.26,2.14
-12.45,3.16,-0.69
-8.86,7.36,6.33
-10.77,9.86,9.29
-1.65,14.26,15.16
2.83,15.06,15.3
5.84,19.16,18.76
4.38,17.56,18.29
2.61,17.46,17.12
-7.35,10.66,9.78
-4.09,6.76,2.15
-9.17,4.85,1.81
-8.73,4.35,-0.05
-10.33,5.95,4.19
-13.9,6.85,6.24
-12.01,10.05,10.42
-4.21,14.75,15.51
0.87,16.05,18.02
4.97,15.55,16.26
3.52,17.45,19.4
1.27,15.85,15.51
1.02,11.35,10.52
-4.28,7.85,6.2
-10.76,5.15,3.71
-8.26,2.66,1.62
-8.7,4.52,3.56
-14.7,5,7.18
-11.38,8.33,7.22
-3.19,14.19,15.67
2.95,15.21,15.44
5.56,18.58,18.86
4.77,18.53,19.43
2.31,13.48,11.94
-5.62,14.27,13.69
-11.58,7.17,2.78
-8.53,2.91,-0.53
-12.03,4.47,0.78
-12.51,7.16,5.56
-14.94,7.27,7.35
-7.08,9.38,9.21
-3.58,13.42,13.22
3.29,16.55,19.49
6.04,17.6,18.51
5.73,18.65,18.16
-0.96,14.6,13.22
-3.23,9.51,10.27
-5.77,7.92,6.73
-7.2,2.94,3.71
-16.7,2.54,0.1
-11.38,1.86,-1.74
-16.79,7.37,7.82
-9.86,9.98,9.45
-2.71,13.23,14.93
2.74,17.89,22.8
6.01,18.89,19.82
5.44,19.3,22.89
-0.28,13.97,14.86
-3.86,7.51,6.41
-6.91,8.05,5.45
-17.57,4.04,1.05
-16.16,3.63,0.56
-16.69,4.86,2.12
-7.25,5.96,4.47
-3.21,10.39,9.59
-1.26,12.33,11.88
2.67,15.56,16.4
6.91,16.74,18.19
4.93,18.88,19.14
0.03,15.22,15.43
-4.13,11.35,11.67
-11.66,6.33,4.21
-8.1,3.28,0.66
-7.49,5.29,0.45
-7.53,2.43,-0.99
-14.83,6.58,5.59
-8.66,10.43,9.51
-1.57,12.61,13.78
4.02,16.8,18.41
5.56,17.69,18.57
5.54,16.23,16.57
-1.19,15.76,15.87
-7.24,13.38,11.29
-4.29,6.89,3.92
-3.51,4.02,-0.76
-3.3,1.5,-2.19
-10.87,2.93,-0.01
-13.58,3.97,3.41
-1.16,9.02,9.1
0.29,14.54,13.52
4.34,16.72,17.95
6.29,22.35,22.82
4.86,16.39,15.09
-0.06,17.96,17.18
-7.12,13.62,12.95
-6.07,9.2,6.98
-7.86,6.55,2.5
-9.5,7.13,4.26
-9.11,6.08,4.87
-8.52,8,5.85
-9.23,13.1,13.88
-1.43,14.16,14.7
4.69,17.52,17.41
6.76,17.05,17.93
4.59,17.15,17.16
0.17,13.83,13.3
-3.48,10.11,9.53
-5.78,6.95,2.93
-9.11,3.82,0.49
-7.59,6.54,3.08
-8.99,5.18,3.99
-14.97,5.94,4.71
-9.68,8.97,8.14
-2.33,15.71,15.46
2.84,16.53,17.41
5.33,18.09,18.65
3.6,17.43,18.06
2.29,13.65,12.67
-6.45,10.12,10.18
-9.24,6.89,4.27
-8.12,2.48,0.35
-12.12,0.83,-1.97
-10.78,3.34,0.34
-12.2,6.36,4.21
-15.62,12.21,12.24
-1.49,13.88,15.65
2.15,15.67,16.68
6.11,18.11,19
4.43,18.48,20.1
1.2,14.99,15.96
-4.36,10.72,9.68
-3.65,9.5,7.29
-5.47,2.26,1
-7.96,-0.42,-2.03
-10.98,1.63,0.75
-14.33,6.47,4.9
-7.9,9.75,10.19
0.08,10.52,11.61
3.04,16.47,16.98
5.89,19.9,20.34
3.5,16.82,17.46
1.22,13.58,13.43
-3.4,10.43,8.98
-12.04,5.84,5.19
-10.98,-1.12,-0.91
-14.07,3.55,1.1
-11.13,4.61,2.9
-12.78,6.08,6.88
-5.44,13.15,12.77
-1.58,14,15.31
3.95,16.15,17.11
6.56,15.92,16.93
5.91,16.92,19.73
3.22,15.67,16.97
-3.47,11.45,9.94
-6.93,7.22,5.45
-7.01,6.51,3.69
-3.69,4.91,2.13
-6.89,0.83,-3.39
-5.81,8.32,8.61
-10.09,8.41,9.22
-1.95,14.48,14.65
4.01,14.9,17.79
5.93,17.28,18.29
4.65,18.49,19.86
2.05,14.18,14.66
-3.59,10.53,10.06
-7.59,6.87,5.87
-8.5,5.07,1.97
-8.32,2.05,0.55
-10.9,1.69,-1.32
-13.31,2.48,2.86
-9.42,8.16,9.13
-1.45,11.52,11.52
3.34,15.28,16.26
5.78,19.22,21.06
5.51,18.1,19.08
3.29,14.48,15.13
-6.18,12.2,11.75
-9.23,6.76,4.01
-8.96,5.95,1.99
-5.3,5.67,3.22
-2.91,6.52,4.43
-9.49,8.43,7.71
-10.66,12.13,11.2
-3.09,13.26,12.92
2.33,16.2,18.24
5.49,19.77,18.04
4.29,16.11,16.9
0.36,15.87,15.84
-2.49,13.45,12.84
-7.91,8.19,6.87
-9.26,4.87,3.06
-6.29,4.04,2.14
-14.02,3.51,-0.12
-6.66,6.18,6.69
-5.89,9.01,10.13
-1.73,12.38,13.79
4.1,15.62,18.34
6.75,18.4,22.39
5.95,18.47,20.84
1.7,13.42,13.69
-2.2,9.91,9.49
-4.2,9.9,8.04
-7.25,9.65,4.69
-4.8,4.8,2.84
-7.25,4.6,4.19
-7.75,5.38,5.04
-7,8.7,9.34
1.15,14.53,13.14
3.95,16.84,16.94
7.1,18.39,19.79
4.55,17.9,19.44
3.15,17.28,17.54
1.95,9.91,8.84
-1.78,5.43,5.09
-6.85,4.69,0.94
-11.91,1.58,-2.91
-8,5.07,4.09
-12.5,8.61,8.84
-8.5,8.58,9.04
-4.05,14.99,15.09
3.7,18.06,20.24
6.25,17.63,19.89
4.6,17.07,20.04
5.05,13.67,13.74
0.4,13.42,11.69
-4.5,7.12,4.89
-5.5,4.81,1.49
-5.2,5.51,4.79
-4.95,0.91,-1.21
-12.15,4.76,4.09
-8.25,11.86,13.79
1.8,16.06,15.89
3.6,17.43,18.84
6.3,20.06,21.44
5.8,18.06,21.49
0.5,14.61,16.84
-1.8,12.06,11.79
-4.2,6.91,5.49
-6.9,5.91,3.49
-9.6,3.46,0.14
-11,6.31,4.34
-11.85,7.86,7.54
-3.75,10.71,9.69
-1.85,11.31,10.94
3.6,17.71,19.79
7.55,18.46,20.94
4.9,18.26,19.44
2.75,14.31,15.49
-4.2,11.66,12.04
-7,6.41,5.69
-9.9,5.71,3.84
-12.45,5.96,2.74
-15.6,7.06,6.54
-17.05,6.66,6.29
-9.05,10.81,13.04
-0.15,12.46,13.64
3.95,17.41,16.89
8.34,16.51,20.14
6.38,20.26,20.09
2.46,15.21,16.69
-2.17,11.26,9.84
-3.84,8.76,4.29
-7.86,5.36,2.15
-8.08,3.21,3.85
-6.26,4.36,4.25
-9.57,6.21,5.9
-6.85,6.41,7.35
-3.86,10.91,11.1
2.64,17.61,19.4
5.34,17.76,18.4
5.73,16.81,17.6
4.02,16.01,16.6
-3.5,11.56,10.2
-9.95,7.26,4
-6.17,5.16,2.75
-9.54,5.06,1.95
-12.45,6.66,4.85
-7.95,7.16,7.65
-9.23,9.01,9.45
-2.26,13.66,16.35
5.92,16.51,19.8
7.84,17.76,21.5
5.17,19.51,20.9
3.1,14.71,14.65
-1.79,12.76,14.25
-2,8.41,7.4
-8.55,3.75,2.75
-4.18,5.65,2.95
-7.19,5.45,4.05
-13.4,6.95,7.25
-5.02,8.65,8.55
-1.6,13.3,14.2
4.09,18.85,20.22
7.74,17.95,20.75
6.65,17.6,20.35
-0.7,17.55,18.92
-3.5,13.2,13.45
-6.95,7.75,6.05
-6,6.55,3.9
-10.05,3.9,2.35
-8.21,8.05,7.05
-13.18,8.86,8.36
-7.1,10.75,10.25
-0.85,15.4,14.2
5.7,15.4,17.85
7.65,17.6,20.55
8.6,19.25,21.45
3.25,15.95,14.8
-0.95,11.9,11.86
-5.21,6.71,5.49
-8.4,6,1.8
-8.2,3.4,2.29
-3.35,4,2.95
-10.54,7.15,7.8
-11.15,11.3,11.51
-0.7,13.4,13.88
4.7,17.8,20.84
7.2,18.65,19.09
7.81,18.07,20.14
3.51,15.01,15.2
-0.21,12,10.07
-5.82,7.64,5.22
-5.76,5.77,2.17
