"years","months","temp_Norway","temp_Netherlands","temp_Switzerland","temp_Iceland","temp_Azores","temp_St_Helena","temp_Rothera","atmospheric_CO2","CO2_emissions"
1887,1,NA,-0.4,-4.22,-0.06,NA,NA,NA,NA,0.0247
1887,2,NA,1.8,-2.02,-0.46,NA,NA,NA,NA,0.0247
1887,3,NA,2.3,0.58,-1.05,NA,NA,NA,NA,0.0247
1887,4,NA,6.6,7.98,-0.46,NA,NA,NA,NA,0.0247
1887,5,NA,9.8,9.88,5.24,NA,NA,NA,NA,0.0247
1887,6,NA,15.2,17.58,10.54,NA,NA,NA,NA,0.0247
1887,7,NA,17.8,19.68,8.44,NA,NA,NA,NA,0.0247
1887,8,NA,15.7,16.58,8.54,NA,NA,NA,NA,0.0247
1887,9,NA,12.3,11.78,8.14,NA,NA,NA,NA,0.0247
1887,10,NA,7.3,4.68,2.04,NA,NA,NA,NA,0.0247
1887,11,NA,4.5,1.88,-3.15,NA,NA,NA,NA,0.0247
1887,12,NA,1.41,-1.73,-4.87,NA,NA,NA,NA,0.0247
1888,1,NA,0.01,-3.43,-0.27,NA,NA,NA,NA,0.0273
1888,2,NA,-1.29,-1.43,-0.97,NA,NA,NA,NA,0.0273
1888,3,NA,1.81,2.47,-4.37,NA,NA,NA,NA,0.0273
1888,4,NA,6.21,6.17,0.63,NA,NA,NA,NA,0.0273
1888,5,NA,11.01,14.07,2.93,NA,NA,NA,NA,0.0273
1888,6,NA,15.41,16.37,11.33,NA,NA,NA,NA,0.0273
1888,7,NA,14.21,15.27,9.53,NA,NA,NA,NA,0.0273
1888,8,NA,14.71,15.57,8.03,NA,NA,NA,NA,0.0273
1888,9,NA,13.21,13.47,8.03,NA,NA,NA,NA,0.0273
1888,10,NA,8.01,5.47,2.23,NA,NA,NA,NA,0.0273
1888,11,NA,5.51,3.87,0.93,NA,NA,NA,NA,0.0273
1888,12,NA,3.32,-1.63,0.33,NA,NA,NA,NA,0.0273
1889,1,NA,0.42,-2.83,-2.47,NA,NA,NA,NA,0.0273
1889,2,NA,1.02,-1.73,-3.97,NA,NA,NA,NA,0.0273
1889,3,NA,3.02,0.87,-1.97,NA,NA,NA,NA,0.0273
1889,4,NA,7.52,6.87,2.33,NA,NA,NA,NA,0.0273
1889,5,NA,15.72,14.37,9.33,NA,NA,NA,NA,0.0273
1889,6,NA,18.52,17.37,11.93,NA,NA,NA,NA,0.0273
1889,7,NA,15.52,17.17,12.73,NA,NA,NA,NA,0.0273
1889,8,NA,15.22,15.77,11.83,NA,NA,NA,NA,0.0273
1889,9,NA,12.42,11.77,8.93,NA,NA,NA,NA,0.0273
1889,10,NA,8.72,7.57,4.93,NA,NA,NA,NA,0.0273
1889,11,NA,4.82,2.57,2.63,NA,NA,NA,NA,0.0273
1889,12,NA,-1.07,-2.74,-0.07,NA,NA,NA,NA,0.0273
1890,1,NA,3.93,0.46,-1.87,NA,NA,NA,NA,0.0297
1890,2,NA,0.53,-3.74,0.73,NA,NA,NA,NA,0.0297
1890,3,NA,5.53,3.56,-1.97,NA,NA,NA,NA,0.0297
1890,4,NA,6.73,7.46,4.23,NA,NA,NA,NA,0.0297
1890,5,NA,13.33,14.06,8.73,NA,NA,NA,NA,0.0297
1890,6,NA,13.83,14.96,8.43,NA,NA,NA,NA,0.0297
1890,7,NA,14.93,15.96,10.43,NA,NA,NA,NA,0.0297
1890,8,NA,15.33,16.16,10.43,NA,NA,NA,NA,0.0297
1890,9,NA,14.43,12.46,7.43,NA,NA,NA,NA,0.0297
1890,10,NA,9.33,6.06,2.63,NA,NA,NA,NA,0.0297
1890,11,NA,4.63,2.76,0.93,NA,NA,NA,NA,0.0297
1890,12,NA,-5.06,-5.94,1.93,NA,NA,NA,NA,0.0297
1891,1,NA,-1.96,-5.74,-0.77,NA,NA,NA,NA,0.0311
1891,2,NA,2.14,-2.54,1.73,NA,NA,NA,NA,0.0311
1891,3,NA,3.74,3.36,-5.37,NA,NA,NA,NA,0.0311
1891,4,NA,6.24,6.06,2.73,NA,NA,NA,NA,0.0311
1891,5,NA,11.74,12.46,5.83,NA,NA,NA,NA,0.0311
1891,6,NA,15.34,15.96,11.63,NA,NA,NA,NA,0.0311
1891,7,NA,15.44,16.36,12.73,NA,NA,NA,NA,0.0311
1891,8,NA,14.94,15.76,10.03,NA,NA,NA,NA,0.0311
1891,9,NA,15.04,14.06,6.83,NA,NA,NA,NA,0.0311
1891,10,NA,10.74,9.46,5.43,NA,NA,NA,NA,0.0311
1891,11,NA,4.44,2.56,0.03,NA,NA,NA,NA,0.0311
1891,12,NA,3.35,0.95,-1.88,NA,NA,NA,NA,0.0311
1892,1,NA,0.45,-1.55,-4.08,NA,NA,NA,NA,0.0314
1892,2,NA,2.25,1.55,-7.18,NA,20.18,NA,NA,0.0314
1892,3,NA,1.95,1.05,-5.18,NA,20.18,NA,NA,0.0314
1892,4,NA,7.45,8.35,0.42,NA,18.98,NA,NA,0.0314
1892,5,NA,13.05,13.25,3.42,NA,17.48,NA,NA,0.0314
1892,6,NA,14.05,16.25,8.02,NA,15.88,NA,NA,0.0314
1892,7,NA,15.15,17.35,10.32,NA,14.98,NA,NA,0.0314
1892,8,NA,16.85,18.65,8.12,NA,14.88,NA,NA,0.0314
1892,9,NA,13.75,14.35,5.82,NA,14.18,NA,NA,0.0314
1892,10,NA,8.45,8.15,1.42,NA,15.28,NA,NA,0.0314
1892,11,NA,6.05,5.45,-2.08,NA,15.38,NA,NA,0.0314
1892,12,NA,1.06,-1.85,-5.38,NA,16.88,NA,NA,0.0314
1893,1,NA,-2.04,-6.25,-1.88,NA,17.68,NA,NA,0.031
1893,2,NA,3.76,2.05,-2.28,NA,18.58,NA,NA,0.031
1893,3,NA,6.56,5.55,-0.58,NA,19.18,NA,NA,0.031
1893,4,NA,9.96,11.95,5.12,NA,19.18,NA,NA,0.031
1893,5,NA,13.66,12.75,7.92,NA,18.38,NA,NA,0.031
